PropertyID,City,State,PropertyType,Bedrooms,Bathrooms,AreaSqFt,YearBuilt,Floor,TotalFloors,Furnishing,Parking,SaleType,SaleDate,Currency,Price
1448,Pune,Maharashtra,Apartment,3,3,1714,2019,23,29,Furnished,Covered,Resale,2024-11-25,INR,19972587
1115,Delhi,Delhi,Apartment,2,1,942,1996,3,8,Unfurnished,None,Resale,2024-06-01,INR,13707297
1065,Kolkata,West Bengal,Apartment,3,4,1319,2005,14,21,Furnished,Covered,Resale,2023-07-30,INR,11282580
2288,Bengaluru,Karnataka,Condo,1,1,756,2012,4,5,Furnished,Covered,Resale,2025-07-18,INR,9632006
1538,Ahmedabad,Gujarat,Apartment,1,1,659,2019,19,26,Unfurnished,Open,Resale,2024-03-29,INR,5000000
669,Bengaluru,Karnataka,Apartment,1,1,744,2002,22,23,Unfurnished,Covered,Resale,2023-09-24,INR,6726158
1584,Chennai,Tamil Nadu,Apartment,3,3,1674,2025,10,17,Unfurnished,None,Resale,2025-03-13,INR,18713462
2405,Gurgaon,Haryana,Condo,1,1,598,2012,23,27,Semi-Furnished,Covered,Resale,2023-03-17,INR,9783305
498,Noida,Uttar Pradesh,House,4,4,2188,1991,0,1,Unfurnished,Covered,Resale,2024-10-02,INR,19774173
2481,Ahmedabad,Gujarat,Apartment,3,2,1642,2021,18,27,Unfurnished,Covered,Resale,2024-03-06,INR,10584213
472,Pune,Maharashtra,Apartment,2,3,704,2019,21,27,Unfurnished,None,Resale,2023-09-27,INR,5714656
247,Ahmedabad,Gujarat,Apartment,3,3,1556,2016,0,4,Unfurnished,Open,Resale,2023-02-03,INR,9071085
924,Chennai,Tamil Nadu,Apartment,2,2,1187,2023,15,17,Furnished,Covered,New,2023-05-07,INR,14067576
1132,Mumbai,Maharashtra,House,3,3,1693,2023,0,1,Unfurnished,Open,New,2023-09-15,INR,48299170
671,Ahmedabad,Gujarat,House,5,5,2739,1985,0,1,Semi-Furnished,Covered,Resale,2025-01-26,INR,19165407
917,Noida,Uttar Pradesh,Apartment,3,3,1026,2017,24,28,Semi-Furnished,Open,Resale,2025-06-08,INR,10903410
1415,Mumbai,Maharashtra,House,5,5,3740,2008,0,1,Semi-Furnished,Covered,Resale,2024-12-03,INR,91333924
1607,Kolkata,West Bengal,Townhouse,2,2,738,2025,0,1,Unfurnished,Covered,New,2024-01-08,INR,7162626
403,Pune,Maharashtra,House,2,2,1274,1996,0,1,Semi-Furnished,Covered,Resale,2025-01-04,INR,12840470
1104,Gurgaon,Haryana,Townhouse,2,1,1065,2003,0,1,Unfurnished,Covered,Resale,2025-01-20,INR,13354828
